lat,lon360,lon180,pixelkm2
32.635,237.07,-122.93,21.06742522
32.635,237.115,-122.885,21.06742522
32.635,237.16,-122.84,21.06742522
32.635,237.205,-122.795,21.06742522
32.635,237.25,-122.75,21.06742522
32.635,237.295,-122.705,21.06742522
32.635,237.34,-122.66,21.06742522
32.635,237.385,-122.615,21.06742522
32.635,237.43,-122.57,21.06742522
32.635,237.475,-122.525,21.06742522
32.635,237.52,-122.48,21.06742522
32.635,237.565,-122.435,21.06742522
32.635,237.61,-122.39,21.06742522
32.635,237.655,-122.345,21.06742522
32.635,237.7,-122.3,21.06742522
32.635,237.745,-122.255,21.06742522
32.635,237.79,-122.21,21.06742522
32.635,237.835,-122.165,21.06742522
32.635,237.88,-122.12,21.06742522
32.635,237.925,-122.075,21.06742522
32.635,237.97,-122.03,21.06742522
32.635,238.015,-121.985,21.06742522
32.635,238.06,-121.94,21.06742522
32.635,238.105,-121.895,21.06742522
32.635,238.15,-121.85,21.06742522
32.635,238.195,-121.805,21.06742522
32.635,238.24,-121.76,21.06742522
32.635,238.285,-121.715,21.06742522
32.635,238.33,-121.67,21.06742522
32.635,238.375,-121.625,21.06742522
32.635,238.42,-121.58,21.06742522
32.635,238.465,-121.535,21.06742522
32.635,238.51,-121.49,21.06742522
32.635,238.555,-121.445,21.06742522
32.635,238.6,-121.4,21.06742522
32.635,238.645,-121.355,21.06742522
32.635,238.69,-121.31,21.06742522
32.635,238.735,-121.265,21.06742522
32.635,238.78,-121.22,21.06742522
32.635,238.825,-121.175,21.06742522
32.635,238.87,-121.13,21.06742522
32.635,238.915,-121.085,21.06742522
32.635,238.96,-121.04,21.06742522
32.635,239.005,-120.995,21.06742522
32.635,239.05,-120.95,21.06742522
32.635,239.095,-120.905,21.06742522
32.635,239.14,-120.86,21.06742522
32.635,239.185,-120.815,21.06742522
32.635,239.23,-120.77,21.06742522
32.635,239.275,-120.725,21.06742522
32.635,239.32,-120.68,21.06742522
32.635,239.365,-120.635,21.06742522
32.635,239.41,-120.59,21.06742522
32.635,239.455,-120.545,21.06742522
32.635,239.5,-120.5,21.06742522
32.635,239.545,-120.455,21.06742522
32.635,239.59,-120.41,21.06742522
32.635,239.635,-120.365,21.06742522
32.635,239.68,-120.32,21.06742522
32.635,239.725,-120.275,21.06742522
32.635,239.77,-120.23,21.06742522
32.635,239.815,-120.185,21.06742522
32.635,239.86,-120.14,21.06742522
32.635,239.905,-120.095,21.06742522
32.635,239.95,-120.05,21.06742522
32.635,239.995,-120.005,21.06742522
32.635,240.04,-119.96,21.06742522
32.635,240.085,-119.915,21.06742522
32.635,240.13,-119.87,21.06742522
32.635,240.175,-119.825,21.06742522
32.635,240.22,-119.78,21.06742522
32.635,240.265,-119.735,21.06742522
32.635,240.31,-119.69,21.06742522
32.635,240.355,-119.645,21.06742522
32.635,240.4,-119.6,21.06742522
32.635,240.445,-119.555,21.06742522
32.635,240.49,-119.51,21.06742522
32.635,240.535,-119.465,21.06742522
32.635,240.58,-119.42,21.06742522
32.635,240.625,-119.375,21.06742522
32.635,240.67,-119.33,21.06742522
32.635,240.715,-119.285,21.06742522
32.635,240.76,-119.24,21.06742522
32.635,240.805,-119.195,21.06742522
32.635,240.85,-119.15,21.06742522
32.635,240.895,-119.105,21.06742522
32.635,240.94,-119.06,21.06742522
32.635,240.985,-119.015,21.06742522
32.635,241.03,-118.97,21.06742522
32.635,241.075,-118.925,21.06742522
32.635,241.12,-118.88,21.06742522
32.635,241.165,-118.835,21.06742522
32.635,241.21,-118.79,21.06742522
32.635,241.255,-118.745,21.06742522
32.635,241.3,-118.7,21.06742522
32.635,241.345,-118.655,21.06742522
32.635,241.39,-118.61,21.06742522
32.635,241.435,-118.565,21.06742522
32.635,241.48,-118.52,21.06742522
32.635,241.525,-118.475,21.06742522
32.635,241.57,-118.43,21.06742522
32.635,241.615,-118.385,21.06742522
32.635,241.66,-118.34,21.06742522
32.635,241.705,-118.295,21.06742522
32.635,241.75,-118.25,21.06742522
32.635,241.795,-118.205,21.06742522
32.635,241.84,-118.16,21.06742522
32.635,241.885,-118.115,21.06742522
32.635,241.93,-118.07,21.06742522
32.635,241.975,-118.025,21.06742522
32.68,235,-125,21.05701515
32.68,235.045,-124.955,21.05701515
32.68,235.09,-124.91,21.05701515
32.68,235.135,-124.865,21.05701515
32.68,235.18,-124.82,21.05701515
32.68,235.225,-124.775,21.05701515
32.68,235.27,-124.73,21.05701515
32.68,235.315,-124.685,21.05701515
32.68,235.36,-124.64,21.05701515
32.68,235.405,-124.595,21.05701515
32.68,235.45,-124.55,21.05701515
32.68,235.495,-124.505,21.05701515
32.68,235.54,-124.46,21.05701515
32.68,235.585,-124.415,21.05701515
32.68,235.63,-124.37,21.05701515
32.68,235.675,-124.325,21.05701515
32.68,235.72,-124.28,21.05701515
32.68,235.765,-124.235,21.05701515
32.68,235.81,-124.19,21.05701515
32.68,235.855,-124.145,21.05701515
32.68,235.9,-124.1,21.05701515
32.68,235.945,-124.055,21.05701515
32.68,235.99,-124.01,21.05701515
32.68,236.035,-123.965,21.05701515
32.68,236.08,-123.92,21.05701515
32.68,236.125,-123.875,21.05701515
32.68,236.17,-123.83,21.05701515
32.68,236.215,-123.785,21.05701515
32.68,236.26,-123.74,21.05701515
32.68,236.305,-123.695,21.05701515
32.68,236.35,-123.65,21.05701515
32.68,236.395,-123.605,21.05701515
32.68,236.44,-123.56,21.05701515
32.68,236.485,-123.515,21.05701515
32.68,236.53,-123.47,21.05701515
32.68,236.575,-123.425,21.05701515
32.68,236.62,-123.38,21.05701515
32.68,236.665,-123.335,21.05701515
32.68,236.71,-123.29,21.05701515
32.68,236.755,-123.245,21.05701515
32.68,236.8,-123.2,21.05701515
32.68,236.845,-123.155,21.05701515
32.68,236.89,-123.11,21.05701515
32.68,236.935,-123.065,21.05701515
32.68,236.98,-123.02,21.05701515
32.68,237.025,-122.975,21.05701515
32.68,237.07,-122.93,21.05701515
32.68,237.115,-122.885,21.05701515
32.68,237.16,-122.84,21.05701515
32.68,237.205,-122.795,21.05701515
32.68,237.25,-122.75,21.05701515
32.68,237.295,-122.705,21.05701515
32.68,237.34,-122.66,21.05701515
32.68,237.385,-122.615,21.05701515
32.68,237.43,-122.57,21.05701515
32.68,237.475,-122.525,21.05701515
